Site,Study,Longitude,Latitude
100,107,1034,"2,342"
102,120,11375,"3,391"
134,18,-611,"10,15"
137,190,-84021,"10,403"
139,133,-83985,"10,433"
140,130,-673,"10,433"
141,251,-83983,"10,433"
142,17,-84167,"10,683"
143,259,-8565,"10,833"
153,137,-963,"17,333"
154,196,-92463,"17,608"
157,233,-66083,"18,017"
158,72,-65817,"18,333"
162,209,98515,"18,553"
163,248,-95105,"18,582"
164,211,-69586,"19,06"
165,136,-7052,"19,378"
168,15,-96792,"19,567"
169,40,-96383,"19,583"
173,268,100871,"22,025"
174,245,92566,"22,807"
175,82,92375,"23,558"
176,249,92388,"23,566"
177,227,101278,"24,063"
3,111,-76066,"3,316"
54,85,-50267,"-7,833"
55,59,-51962,"-7,771"
57,193,145733,-5
90,239,-78683,"0,025"
93,200,30535,"0,436"
96,240,315,"1,75"
97,61,103495,"1,84"
